experiment_name,experiment_id,descriptor_type,pooling_strategy,mean_average_precision,true_map_macro,true_map_micro,true_map_macro_with_zeros,true_map_micro_with_zeros,precision_at_1,precision_at_5,recall_at_1,recall_at_5,processing_time_s
,144,dspsift_baseline,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,146,dspsift_baseline,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,143,sift_dsp_pyramid,domain_size_pooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032
,145,sift_dsp_pyramid,domain_size_pooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
cnn_descriptor_reference_keynet_sift_pairs,392,libtorch_hardnet_baseline,none,0.8291770574280103,0.8291770574280103,0.8362468077302484,0.35588888933451474,0.3613323770951357,0.7939300342442759,0.8855838313301551,0.7939300342442759,0.8855838313301551,21.067
cnn_descriptor_reference_keynet_sift_pairs,394,libtorch_l2net_baseline,none,0.5340112205489781,0.5340112205489781,0.5337753928663563,0.23408577032908315,0.2306380481891244,0.4711945209158665,0.6005841670583496,0.4711945209158665,0.6005841670583496,20.786
cnn_descriptor_reference_keynet_sift_pairs,393,libtorch_sosnet_baseline,none,0.8269667321615165,0.8269667321615165,0.8329974092147968,0.3545325665360865,0.35992835034266973,0.7907070435775196,0.8808164909689116,0.7907070435775196,0.8808164909689116,20.689
color_descriptors_with_rootsift,170,dspsift_v2_baseline,none,0.5824645563204085,0.5824645563204085,0.6035511767166748,0.20629837067214044,0.20870166677878257,0.5749045601376012,0.6323362839283467,0.5749045601376012,0.6323362839283467,46.545
color_descriptors_with_rootsift,173,honc_baseline,none,0.4755710658007561,0.4755710658007561,0.49722527274861594,0.17181871111124217,0.17193528434770086,0.4577337752233922,0.5380291144019801,0.4577337752233922,0.5380291144019801,72.677
color_descriptors_with_rootsift,174,honc_rootsift,none,0.48546883793792267,0.48546883793792267,0.5066952766220114,0.17480897669709936,0.17520991236438507,0.46855728489323323,0.5455804002181482,0.46855728489323323,0.5455804002181482,74.444
color_descriptors_with_rootsift,171,rgbsift_baseline,none,0.5428914637606268,0.5428914637606268,0.5663438833765758,0.19452094419359933,0.19583577497711524,0.5357637286571296,0.5961320635986072,0.5357637286571296,0.5961320635986072,86.917
color_descriptors_with_rootsift,172,rgbsift_rootsift,none,0.5633143285839076,0.5633143285839076,0.5849312124064944,0.20066519610001954,0.20226307840913332,0.5570751352938709,0.6117380542853547,0.5570751352938709,0.6117380542853547,87.85
descriptor_processing_sift_keynet_pairs,358,honc_dsp_l1_root_after,none,0.47565950973884735,0.47565950973884735,0.5045651606158811,0.11530551113476573,0.12181733470849507,0.4722105389653308,0.5373430270984798,0.4722105389653308,0.5373430270984798,20.976
descriptor_processing_sift_keynet_pairs,357,honc_dsp_l1_root_before,none,0.4748343572622762,0.4748343572622762,0.5038516649400587,0.11512412965241962,0.12164507520994267,0.4712491738268341,0.5368623445292315,0.4712491738268341,0.5368623445292315,20.936
descriptor_processing_sift_keynet_pairs,356,honc_dsp_l1_root_none,none,0.46913426697813554,0.46913426697813554,0.49852516149483617,0.1140079467447242,0.12035909570985069,0.46512047106891785,0.5337379078291173,0.46512047106891785,0.5337379078291173,20.846
descriptor_processing_sift_keynet_pairs,361,honc_dsp_l2_root_after,none,0.47565950973884735,0.47565950973884735,0.5045651606158811,0.11530551113476573,0.12181733470849507,0.4722105389653308,0.5373430270984798,0.4722105389653308,0.5373430270984798,20.77
descriptor_processing_sift_keynet_pairs,360,honc_dsp_l2_root_before,none,0.4748343572622762,0.4748343572622762,0.5038516649400587,0.11512412965241962,0.12164507520994267,0.4712491738268341,0.5368623445292315,0.4712491738268341,0.5368623445292315,20.91
descriptor_processing_sift_keynet_pairs,359,honc_dsp_l2_root_none,none,0.46913426697813554,0.46913426697813554,0.49852516149483617,0.1140079467447242,0.12035909570985069,0.46512047106891785,0.5337379078291173,0.46512047106891785,0.5337379078291173,20.879
descriptor_processing_sift_keynet_pairs,352,honc_plain_l1_root_after,none,0.48546883793792267,0.48546883793792267,0.5066952766220114,0.17480897669709936,0.17520991236438507,0.46855728489323323,0.5455804002181482,0.46855728489323323,0.5455804002181482,47.191
descriptor_processing_sift_keynet_pairs,351,honc_plain_l1_root_before,none,0.4755710658007561,0.4755710658007561,0.49722527274861594,0.17181871111124217,0.17193528434770086,0.4577337752233922,0.5380291144019801,0.4577337752233922,0.5380291144019801,46.821
descriptor_processing_sift_keynet_pairs,350,honc_plain_l1_root_none,none,0.4755710658007561,0.4755710658007561,0.49722527274861594,0.17181871111124217,0.17193528434770086,0.4577337752233922,0.5380291144019801,0.4577337752233922,0.5380291144019801,46.486
descriptor_processing_sift_keynet_pairs,355,honc_plain_l2_root_after,none,0.48546883793792267,0.48546883793792267,0.5066952766220114,0.17480897669709936,0.17520991236438507,0.46855728489323323,0.5455804002181482,0.46855728489323323,0.5455804002181482,46.956
descriptor_processing_sift_keynet_pairs,354,honc_plain_l2_root_before,none,0.4755710658007561,0.4755710658007561,0.49722527274861594,0.17181871111124217,0.17193528434770086,0.4577337752233922,0.5380291144019801,0.4577337752233922,0.5380291144019801,47.094
descriptor_processing_sift_keynet_pairs,353,honc_plain_l2_root_none,none,0.4755710658007561,0.4755710658007561,0.49722527274861594,0.17181871111124217,0.17193528434770086,0.4577337752233922,0.5380291144019801,0.4577337752233922,0.5380291144019801,47.04
