experiment_name,descriptor_type,true_map_macro,true_map_micro,precision_at_1,processing_time_s
descriptor_processing_sift_keynet_pairs,vgg_color_dsp_l1_root_before,0.5366324457533364,0.5644652625874412,0.53068758652515,62.088
descriptor_processing_sift_keynet_pairs,vgg_color_dsp_l2_root_before,0.5366324457533364,0.5644652625874412,0.53068758652515,61.942
descriptor_processing_sift_keynet_pairs,sift_rgb_stack_l1_root_none,0.5346881989573186,0.5602030171872671,0.5284641523681671,67.701
descriptor_processing_sift_keynet_pairs,sift_rgb_stack_l2_root_none,0.5346881989573186,0.5602030171872671,0.5284641523681671,68.212
descriptor_processing_sift_keynet_pairs,sift_plain_color_l1_root_after,0.5346176240766178,0.5601671702653279,0.5284222007802996,24.699
descriptor_processing_sift_keynet_pairs,sift_plain_color_l1_root_before,0.5346176240766178,0.5601671702653279,0.5284222007802996,24.299
descriptor_processing_sift_keynet_pairs,sift_plain_color_l1_root_none,0.5346176240766178,0.5601671702653279,0.5284222007802996,24.631
descriptor_processing_sift_keynet_pairs,sift_plain_color_l2_root_after,0.5346176240766178,0.5601671702653279,0.5284222007802996,24.068
descriptor_processing_sift_keynet_pairs,sift_plain_color_l2_root_before,0.5346176240766178,0.5601671702653279,0.5284222007802996,24.064
descriptor_processing_sift_keynet_pairs,sift_plain_color_l2_root_none,0.5346176240766178,0.5601671702653279,0.5284222007802996,24.196
descriptor_processing_sift_keynet_pairs,sift_plain_l1_root_after,0.5346176240766178,0.5601671702653279,0.5284222007802996,24.893
descriptor_processing_sift_keynet_pairs,sift_plain_l1_root_before,0.5346176240766178,0.5601671702653279,0.5284222007802996,24.7
descriptor_processing_sift_keynet_pairs,sift_plain_l1_root_none,0.5346176240766178,0.5601671702653279,0.5284222007802996,24.765
descriptor_processing_sift_keynet_pairs,sift_plain_l2_root_after,0.5346176240766178,0.5601671702653279,0.5284222007802996,24.492
descriptor_processing_sift_keynet_pairs,sift_plain_l2_root_before,0.5346176240766178,0.5601671702653279,0.5284222007802996,24.686
descriptor_processing_sift_keynet_pairs,sift_plain_l2_root_none,0.5346176240766178,0.5601671702653279,0.5284222007802996,24.721
descriptor_processing_sift_keynet_pairs,sift_dsp_l1_root_none,0.53350485917361,0.5715221600343819,0.5475575316950069,16.891
descriptor_processing_sift_keynet_pairs,sift_dsp_l2_root_none,0.53350485917361,0.5715221600343819,0.5475575316950069,16.731
descriptor_processing_sift_keynet_pairs,vgg_color_plain_l1_root_after,0.5310227554051986,0.5606638131625225,0.5259470570961111,32.999
descriptor_processing_sift_keynet_pairs,vgg_color_plain_l1_root_before,0.5310227554051986,0.5606638131625225,0.5259470570961111,32.877
descriptor_processing_sift_keynet_pairs,vgg_color_plain_l1_root_none,0.5310227554051986,0.5606638131625225,0.5259470570961111,32.921
descriptor_processing_sift_keynet_pairs,vgg_color_plain_l2_root_after,0.5310227554051986,0.5606638131625225,0.5259470570961111,32.772
