experiment_name,descriptors,macro_map_mean,macro_map_max,micro_map_mean,precision_at_1_max,processing_time_s_mean
cnn_descriptor_reference_keynet_sift_pairs,3,0.7300516700461683,0.8291770574280103,0.7343398699371338,0.7939300342442759,20.847333333333335
libtorch_hardnet_baseline_keynet_sift_pairs,1,0.8291770574280103,0.8291770574280103,0.8362468077302484,0.7939300342442759,35.819
libtorch_hardnet_baseline,3,0.8291770574280103,0.8291770574280103,0.8362468077302484,0.7939300342442759,36.145
sift_vs_hardnet_keynet_pairs,4,0.6191797954379972,0.8291770574280103,0.631268481814558,0.7939300342442759,42.259
libtorch_sosnet_baseline,3,0.8269667321615165,0.8269667321615165,0.8329974092147968,0.7907070435775196,36.28733333333333
libtorch_sosnet_baseline_keynet_sift_pairs,1,0.8269667321615165,0.8269667321615165,0.8329974092147968,0.7907070435775196,36.099
sift_vs_hardnet_keynet,2,0.49849561841607115,0.7232362285333954,0.5114874509795913,0.6375564108554775,96.9205
libtorch_hardnet_keynet,3,0.35723975146198267,0.6815467859620146,0.37371081715408394,0.5923711606020563,65.24033333333334
dsp_color_descriptors_v2,46,0.18578697855180049,0.6040418963916058,0.19177720770843995,0.5937827746780215,19.089021739130434
rootsift_pooling_order,5,0.5953225044819914,0.5993380752919298,0.6143686461897055,0.5905105508243487,45.4296
rootsift_validation,5,0.5921619548731754,0.5988169608899829,0.6116700938690602,0.5902168897092755,46.031600000000005
rootsift_validation_avg,1,0.5988169608899829,0.5988169608899829,0.6174458555003408,0.5902168897092755,45.702
dspsift_systematic_analysis_sift_keynet_pairs,6,0.5452297291438116,0.5844896095390354,0.5691240225640731,0.5745689474346604,57.5625
color_descriptors_with_rootsift,5,0.5299420504807244,0.5824645563204085,0.5517493643740744,0.5749045601376012,73.6866
dsp_pyramid_comparison,2,0.5558509382105967,0.5724626373354458,0.5799498451252745,0.567143516382095,54.408500000000004
dsp_aggregation_comparison,5,0.5429423212737532,0.5724626373354458,0.5679778766232125,0.567143516382095,53.24679999999999
dspsift_systematic_analysis,18,0.5686106033964227,0.5724626373354458,0.5925015619969369,0.567143516382095,71.52683333333333
descriptor_processing_sift_keynet_pairs,90,0.5172708192208842,0.5633143285839076,0.5471481761835434,0.5684071381361533,39.390588888888885
sift_systematic_analysis,30,0.5381462763091903,0.5512692381640798,0.5631300297371103,0.5459999160968243,72.0314
vgg_systematic_analysis,27,0.5354925169143514,0.5500013104286284,0.5632389894004829,0.5456223518060158,63.02444444444445
sift_systematic_analysis_keynet_sift_pairs,9,0.5270227102883287,0.5499209353173314,0.5337640427250862,0.4596790438461022,138.41466666666668
vsift_systematic_analysis_keynet_sift_pairs,9,0.5239812389958493,0.5477695968209821,0.5311646589613442,0.4580675485127241,138.21344444444446
honc_systematic_analysis,18,0.4993755786109603,0.5443738991447739,0.5216970372056566,0.5373578889960985,104.78433333333334
vgg_systematic_analysis_sift_keynet_pairs,9,0.5364567482277683,0.5437170830528718,0.5639328938673729,0.5380710659898477,62.749111111111105
vsift_systematic_analysis,27,0.5357586800905266,0.5436676822011172,0.5614064793390706,0.5397491295045518,61.57859259259259
sift_systematic_analysis_sift_keynet_pairs,9,0.45145051038321743,0.5428914637606268,0.4889163450552595,0.5512828216066815,50.422222222222224
sift_baseline,2,0.5346176240766178,0.5346176240766178,0.5601671702653279,0.5284222007802996,26.6065
sift_vs_hardnet_sift_keynet_pairs,2,0.38770787295594494,0.5346176240766178,0.4135467283386861,0.5284222007802996,22.4825
vsift_systematic_analysis_sift_keynet_pairs,9,0.4497229304646939,0.5346146848303875,0.48769172948865136,0.5475575316950069,43.718777777777774
sift_baseline_sift_pairs,1,0.5298342330921857,0.5298342330921857,0.5618554241626253,0.5313825556733828,35.96
dspsift_systematic_analysis_keynet_sift_pairs,6,0.47091577249107547,0.4912222371889889,0.47743583352728675,0.39773719196938156,60.70633333333333
honc_systematic_analysis_sift_keynet_pairs,6,0.39324794396969254,0.4755710658007561,0.4258691471605916,0.46512047106891785,60.477
sift_baseline_siftset,1,0.44879587923069025,0.44879587923069025,0.46577476723529837,0.43841321504190944,234.209
honc_systematic_analysis_keynet_sift_pairs,6,0.3929699992415776,0.41211788657075993,0.39389163719606396,0.3122943664808971,197.79583333333335
surf_baseline,4,0.2733398180047036,0.2733398180047036,0.308555396274596,0.2595964257247137,34.46425
libtorch_hardnet_baseline_sift_keynet_pairs,2,0.24079812183527208,0.24079812183527208,0.26692628641204424,0.21571506481520325,38.878
libtorch_sosnet_baseline_sift_keynet_pairs,1,0.23907686762556654,0.23907686762556654,0.264516958914098,0.2127365020766036,37.416
orb_baseline,1,0.051931532089545034,0.051931532089545034,0.05146585853098116,0.01744360902255639,0.948
,4,0.0,0.0,0.0,0.0,0.0095
